top - 22:54:16 up  2:47,  1 user,  load average: 2.07, 1.25, 1.02
Tasks: 336 total,   2 running, 333 sleeping,   0 stopped,   1 zombie
%Cpu(s): 10.5 us, 15.8 sy,  0.0 ni, 68.4 id,  5.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.9 total,    516.3 free,   2422.0 used,    728.1 buff/cache     
MiB Swap:   3714.0 total,   2245.9 free,   1468.1 used.   1445.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  14043 root      20   0   14508   5648   3496 R   5.0   0.1   0:00.06 top
      1 root      20   0   23252  10080   6872 S   0.0   0.3   0:04.56 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.26 ksoftir+
     15 root      20   0       0      0      0 R   0.0   0.0   0:02.37 rcu_pre+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.09 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.63 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.39 ksoftir+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.05 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:05.64 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:10.78 kswapd0
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
